Sample,Metric,Match Distance
76,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997162
76,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00872716
77,Uniformified 32-bit Hamming Metric Distance,0.749875
77,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29697
77,Uniformified 32-bit Hash Metric Distance,0.730268
77,Uniformified 32-bit Symmetric Wrap Metric Distance,0.984105
77,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0152059
78,Uniformified 32-bit Hamming Metric Distance,0.490701
78,Uniformified 32-bit Approx Dual Streak Metric Distance,0.829367
78,Uniformified 32-bit Hash Metric Distance,0.539333
78,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990188
78,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0132794
79,Uniformified 32-bit Hamming Metric Distance,0.628637
79,Uniformified 32-bit Approx Dual Streak Metric Distance,0.955154
79,Uniformified 32-bit Hash Metric Distance,0.391272
79,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991878
79,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00704628
80,Uniformified 32-bit Hamming Metric Distance,0.959404
80,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
80,Uniformified 32-bit Hash Metric Distance,0.62476
80,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990109
80,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0152881
81,Uniformified 32-bit Hamming Metric Distance,0.916708
81,Uniformified 32-bit Approx Dual Streak Metric Distance,0.864564
81,Uniformified 32-bit Hash Metric Distance,0.58117
81,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997934
81,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00738361
82,Uniformified 32-bit Hamming Metric Distance,0.847265
82,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
82,Uniformified 32-bit Hash Metric Distance,0.682615
82,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992581
82,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00837623
83,Uniformified 32-bit Hamming Metric Distance,0.847265
83,Uniformified 32-bit Approx Dual Streak Metric Distance,0.9989
83,Uniformified 32-bit Hash Metric Distance,0.138794
83,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996832
83,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00136338
84,Uniformified 32-bit Hamming Metric Distance,0.490701
84,Uniformified 32-bit Approx Dual Streak Metric Distance,0.9978
84,Uniformified 32-bit Hash Metric Distance,0.305931
84,Uniformified 32-bit Symmetric Wrap Metric Distance,0.982093
84,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00980165
85,Uniformified 32-bit Hamming Metric Distance,0.749875
85,Uniformified 32-bit Approx Dual Streak Metric Distance,0.39981
85,Uniformified 32-bit Hash Metric Distance,0.531499
85,Uniformified 32-bit Symmetric Wrap Metric Distance,0.980625
85,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0197774
86,Uniformified 32-bit Hamming Metric Distance,0.959404
86,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
86,Uniformified 32-bit Hash Metric Distance,0.0855091
86,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998559
86,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00856392
87,Uniformified 32-bit Hamming Metric Distance,0.847265
87,Uniformified 32-bit Approx Dual Streak Metric Distance,0.921158
87,Uniformified 32-bit Hash Metric Distance,0.0150992
87,Uniformified 32-bit Symmetric Wrap Metric Distance,0.980668
87,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00837137
88,Uniformified 32-bit Hamming Metric Distance,0.959404
88,Uniformified 32-bit Approx Dual Streak Metric Distance,0.943706
88,Uniformified 32-bit Hash Metric Distance,0.97116
88,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990704
88,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0107813
