Sample,Metric,Detour Difference
86,Uniformified 32-bit Hamming Metric Distance,-0.0236476
86,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0987401
86,Uniformified 32-bit Hash Metric Distance,0.601522
86,Uniformified 32-bit Symmetric Wrap Metric Distance,0.324288
86,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00443499
87,Uniformified 32-bit Hamming Metric Distance,0.726027
87,Uniformified 32-bit Approx Dual Streak Metric Distance,0.923058
87,Uniformified 32-bit Hash Metric Distance,0.46126
87,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0157088
87,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.001738
88,Uniformified 32-bit Hamming Metric Distance,1.08354
88,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29532
